nome;caracteristicas;ano;data_registro
ford f150;excellent|8 cylinders|gas|automatic|truck|red;1998;2021-05-04
dodge charger limousine;gas|automatic;2012;2021-05-04
ford focus;good|4 cylinders|gas|automatic;2005;2021-05-04
ford windstar;good|6 cylinders|gas|automatic;1999;2021-05-04
ford sport trac;good|6 cylinders|gas|automatic;2002;2021-05-04
toyota fj cruiser;gas|automatic|4wd;2008;2021-05-04
nissan altima;gas|automatic|fwd|silver;2018;2021-05-04
nissan frontier;gas|automatic|rwd|black;2018;2021-05-04
toyota tacoma;gas|automatic|rwd;2021;2021-05-04
buick enclave;gas|automatic|fwd|black;2015;2021-05-04
gmc sierra 3500;gas|automatic|4wd|white;2019;2021-05-04
chevrolet silverado 1500 double;good|6 cylinders|gas|other|pickup|silver;2016;2021-05-04
honda ridgeline;fair|gas|automatic|4wd;2009;2021-05-04
ford f150;gas|automatic;1997;2021-05-04
chevrolet malibu classic;gas|automatic;1976;2021-05-04
toyota camry;good|4 cylinders|gas|automatic;2003;2021-05-04
mercedes-benz benz;gas|automatic;1969;2021-05-04
bmw 5 series;6 cylinders|gas|automatic|sedan|black;2016;2021-05-04
kia optima;excellent|4 cylinders|gas|automatic|white;2013;2021-05-03
chevrolet silverado 2500;good|8 cylinders|diesel|automatic|4wd|truck|white;2008;2021-05-03
buick lacrosse;6 cylinders|gas|automatic|fwd|sedan|blue;2006;2021-05-03
toyota echo;excellent|4 cylinders|gas|automatic|fwd|sedan|blue;2002;2021-05-03
hyundai elantra;4 cylinders|gas|automatic|rwd|sedan|white;2009;2021-05-03
chevrolet blazer;good|6 cylinders|gas|automatic|4wd|SUV|white;2004;2021-05-03
nissan versa;gas|automatic;2009;2021-05-03
bmw 525i;fair|6 cylinders|gas|automatic|rwd|sedan|white;1995;2021-05-03
gmc sierra 1500 crew cab slt;good|8 cylinders|gas|other|pickup|white;2014;2021-05-03
gmc yukon xl;excellent|8 cylinders|gas|automatic|rwd|SUV|black;2008;2021-05-03
ford c-max hybrid se wagon 4d;good|hybrid|other|fwd|wagon|blue;2017;2021-05-03
